Stt,Folder,ID,Tay T (trai)/P (phai)/2 (ca 2 tay)
No. 1001,train1,2491,T
No. 1002,train1,2492,T
No. 1003,train1,2493,T
No. 1004,train1,2494,T
No. 1005,train1,2495,T
No. 1006,train1,2496,T
No. 1007,train1,2497,T
No. 1008,train1,2498,T
No. 1009,train1,2499,T
No. 1010,train1,2500,T
No. 1011,train1,2501,T
No. 1012,train1,2502,T
No. 1013,train1,2503,T
No. 1014,train1,2504,T
No. 1015,train1,2505,T
No. 1016,train1,2506,T
No. 1017,train1,2507,T
No. 1018,train1,2508,T
No. 1019,train1,2509,T
No. 1020,train1,2510,T
No. 1021,train1,2511,T
No. 1022,train1,2512,T
No. 1023,train1,2513,T
No. 1024,train1,2514,T
No. 1025,train1,2515,T
No. 1026,train1,2516,T
No. 1027,train1,2517,T
No. 1028,train1,2518,T
No. 1029,train1,2519,T
No. 1030,train1,2520,T
No. 1031,train1,2521,T
No. 1032,train1,2522,T
No. 1033,train1,2523,T
No. 1034,train1,2525,T
No. 1035,train1,2526,T
No. 1036,train1,2527,T
No. 1037,train1,2528,T
No. 1038,train1,2529,T
No. 1039,train1,2530,T
No. 1040,train1,2531,T
No. 1041,train1,2532,T
No. 1042,train1,2533,T
No. 1043,train1,2534,T
No. 1044,train1,2535,T
No. 1045,train1,2537,T
No. 1046,train1,2538,T
No. 1047,train1,2539,T
No. 1048,train1,2540,T
No. 1049,train1,2541,T
No. 1050,train1,2543,T
No. 1051,train1,2544,T
No. 1052,train1,2545,T
No. 1053,train1,2546,T
No. 1054,train1,2547,T
No. 1055,train1,2550,T
No. 1056,train1,2551,T
No. 1057,train1,2552,T
No. 1058,train1,2553,T
No. 1059,train1,2554,T
No. 1060,train1,2555,T
No. 1061,train1,2556,T
No. 1062,train1,2557,T
No. 1063,train1,2558,T
No. 1064,train1,2559,T
No. 1065,train1,2560,T
No. 1066,train1,2562,T
No. 1067,train1,2563,T
No. 1068,train1,2564,T
No. 1069,train1,2565,T
No. 1070,train1,2566,T
No. 1071,train1,2567,T
No. 1072,train1,2568,T
No. 1073,train1,2570,T
No. 1074,train1,2571,T
No. 1075,train1,2572,T
No. 1076,train1,2573,T
No. 1077,train1,2574,T
No. 1078,train1,2575,T
No. 1079,train1,2576,T
No. 1080,train1,2577,T
No. 1081,train1,2578,T
