"STT","Folder","ID","Angle"
"No. 1","train1","1377","0"
"No. 2","train1","1378","0"
"No. 3","train1","1379","0"
"No. 4","train1","1380","5"
"No. 5","train1","1381","0"
"No. 6","train1","1382","0"
"No. 7","train1","1383","0"
"No. 8","train1","1384","-10"
"No. 9","train1","1385","20"
"No. 10","train1","1387","-3"
"No. 11","train1","1388","-2"
"No. 12","train1","1389","3"
"No. 13","train1","1390","-10"
"No. 14","train1","1391","0"
"No. 15","train1","1393","0"
"No. 16","train1","1394","2"
"No. 17","train1","1395","0"
"No. 18","train1","1396","0"
"No. 19","train1","1398","0"
"No. 20","train1","1399","10"
"No. 21","train1","1400","0"
"No. 22","train1","1402","40"
"No. 23","train1","1403","5"
"No. 24","train1","1404","2"
"No. 25","train1","1405","0"
"No. 26","train1","1406","0"
"No. 27","train1","1407","-15"
"No. 28","train1","1408","3"
"No. 29","train1","1409","-5"
"No. 30","train1","1411","0"
"No. 31","train1","1412","-1"
"No. 32","train1","1414","3"
"No. 33","train1","1415","-2"
"No. 34","train1","1416","5"
"No. 35","train1","1417","10"
"No. 36","train1","1418","-5"
"No. 37","train1","1419","-2"
"No. 38","train1","1420","20"
"No. 39","train1","1422","0"
"No. 40","train1","1423","-1"
"No. 41","train1","1424","0"
"No. 42","train1","1425","0"
"No. 43","train1","1426","5"
"No. 44","train1","1427","-2"
"No. 45","train1","1428","-4"
"No. 46","train1","1429","10"
"No. 47","train1","1430","Hai Tay"
"No. 48","train1","1431","-5"
"No. 49","train1","1432","0"
"No. 50","train1","1433","5"
"No. 51","train1","1434","-2"
"No. 52","train1","1435","0"
"No. 53","train1","1436","0"
"No. 54","train1","1437","-5"
"No. 55","train1","1438","0"
"No. 56","train1","1439","5"
"No. 57","train1","1440","0"
"No. 58","train1","1441","-3"
"No. 59","train1","1442","0"
"No. 60","train1","1443","-3"
"No. 61","train1","1444","-6"
"No. 62","train1","1445","0"
"No. 63","train1","1446","0"
"No. 64","train1","1447","0"
"No. 65","train1","1448","-5"
"No. 66","train1","1451","-3"
"No. 67","train1","1452","0"
"No. 68","train1","1453","-3"
"No. 69","train1","1454","0"
"No. 70","train1","1455","50"
"No. 71","train1","1457","0"
"No. 72","train1","1458","-5"
"No. 73","train1","1459","3"
"No. 74","train1","1460","5"
"No. 75","train1","1461","0"
"No. 76","train1","1462","0"
"No. 77","train1","1463","10"
"No. 78","train1","1464","-10"
"No. 79","train1","1466","-3"
"No. 80","train1","1467","5"
"No. 81","train1","1468","-3"
"No. 82","train1","1469","-30"
"No. 83","train1","1470","0"
"No. 84","train1","1471","-10"
"No. 85","train1","1472","15"
"No. 86","train1","1473","3"
"No. 87","train1","1474","0"
"No. 88","train1","1475","0"
"No. 89","train1","1476","0"
"No. 90","train1","1477","-15"
"No. 91","train1","1478","-30"
"No. 92","train1","1479","0"
"No. 93","train1","1480","-3"
"No. 94","train1","1481","-3"
"No. 95","train1","1482","2"
"No. 96","train1","1483","0"
"No. 97","train1","1484","0"
"No. 98","train1","1485","0"
"No. 99","train1","1486","0"
"No. 100","train1","1487","-5"
"No. 101","train1","1488","-25"
"No. 102","train1","1489","-30"
"No. 103","train1","1491","-5"
"No. 104","train1","1492","0"
"No. 105","train1","1493","-30"
"No. 106","train1","1494","-5"
"No. 107","train1","1495","-3"
"No. 108","train1","1496","5"
"No. 109","train1","1497","35"
"No. 110","train1","1498","0"
"No. 111","train1","1499","-5"
"No. 112","train1","1500","0"
"No. 113","train1","1501","0"
"No. 114","train1","1502","-5"
"No. 115","train1","1503","3"
"No. 116","train1","1504","-3"
"No. 117","train1","1505","5"
"No. 118","train1","1507","3"
"No. 119","train1","1508","5"
"No. 120","train1","1509","7"
"No. 121","train1","1511","0"
"No. 122","train1","1512","3"
"No. 123","train1","1513","-3"
"No. 124","train1","1514","0"
"No. 125","train1","1515","30"
"No. 126","train1","1516","-5"
"No. 127","train1","1517","3"
"No. 128","train1","1518","-10"
"No. 129","train1","1519","0"
"No. 130","train1","1520","-3"
"No. 131","train1","1521","0"
"No. 132","train1","1522","15"
"No. 133","train1","1523","0"
"No. 134","train1","1524","0"
"No. 135","train1","1525","5"
"No. 136","train1","1526","0"
"No. 137","train1","1527","3"
"No. 138","train1","1529","3"
"No. 139","train1","1530","-15"
"No. 140","train1","1531","-10"
"No. 141","train1","1533","0"
"No. 142","train1","1534","0"
"No. 143","train1","1535","0"
"No. 144","train1","1536","3"
"No. 145","train1","1538","-35"
"No. 146","train1","1540","0"
"No. 147","train1","1541","-10"
"No. 148","train1","1542","5"
"No. 149","train1","1543","-5"
"No. 150","train1","1544","7"
"No. 151","train1","1545","0"
"No. 152","train1","1546","0"
"No. 153","train1","1547","5"
"No. 154","train1","1548","0"
"No. 155","train1","1549","0"
"No. 156","train1","1550","-5"
"No. 157","train1","1551","0"
"No. 158","train1","1553","-2"
"No. 159","train1","1554","3"
"No. 160","train1","1555","0"
"No. 161","train1","1556","7"
"No. 162","train1","1557","0"
"No. 163","train1","1558","0"
"No. 164","train1","1559","30"
"No. 165","train1","1560","-3"
"No. 166","train1","1562","-3"
"No. 167","train1","1563","0"
"No. 168","train1","1565","3"
"No. 169","train1","1566","0"
"No. 170","train1","1567","0"
"No. 171","train1","1568","3"
