order_id,order_date,customer_id,order_status
1,7/25/13 0:00,11599,CLOSED
2,7/25/13 0:00,256,PENDING_PAYMENT
3,7/25/13 0:00,12111,COMPLETE
4,7/25/13 0:00,8827,CLOSED
5,7/25/13 0:00,11318,COMPLETE
6,7/25/13 0:00,7130,COMPLETE
7,7/25/13 0:00,4530,COMPLETE
8,7/25/13 0:00,2911,PROCESSING
9,7/25/13 0:00,5657,PENDING_PAYMENT
10,7/25/13 0:00,5648,PENDING_PAYMENT
11,7/25/13 0:00,918,PAYMENT_REVIEW
12,7/25/13 0:00,1837,CLOSED
13,7/25/13 0:00,9149,PENDING_PAYMENT
14,7/25/13 0:00,9842,PROCESSING
15,7/25/13 0:00,2568,COMPLETE
16,7/25/13 0:00,7276,PENDING_PAYMENT
17,7/25/13 0:00,2667,COMPLETE
18,7/25/13 0:00,1205,CLOSED
19,7/25/13 0:00,9488,PENDING_PAYMENT
20,7/25/13 0:00,9198,PROCESSING
